conversation_id,start_utc,duration_secs,cost_credits,llm_charge,call_charge,llm_price_usd,tier,status
conv_9901kq9qfx2cfzwafkxx72vhmnqt,2026-04-28T09:42:59.000Z,0,0,,,,,failed
conv_6101kq9py6m2fhsrgy5gyzvvpgz1,2026-04-28T09:33:01.000Z,444,4054,796,3258,0.14476811999999994,creator,done
conv_7701kq9ne3e9f0fragbp1nea963g,2026-04-28T09:06:49.000Z,449,3903,604,3299,0.10982103999999998,creator,done
conv_8401kq9mpwm5enbtfjb176wnvs26,2026-04-28T08:53:50.000Z,14,107,0,107,0,creator,done
conv_8201kq9ky5xbea3vgmqsath3s2s4,2026-04-28T08:40:27.000Z,215,1829,259,1570,0.04713327999999999,creator,done
conv_5301kq9ktvmweztb0sfgh4ersh59,2026-04-28T08:38:40.000Z,18,131,0,131,0,creator,done
conv_4001kq9kg99teey9e7stmwyvdkb7,2026-04-28T08:32:54.000Z,63,536,71,465,0.0129426,creator,done
conv_4901kq9k2sh0faetjyn1v6fkkqbm,2026-04-28T08:25:31.000Z,73,600,70,530,0.01268072,creator,done
conv_3201kq9g04f6e84bke9ckmhbwjmn,2026-04-28T07:31:30.000Z,286,2318,219,2099,0.03990559999999999,creator,done
conv_5401kq9fx9qtf9waphn14prf9aq2,2026-04-28T07:29:57.000Z,83,728,120,608,0.021861279999999997,creator,done
conv_7001kq9cem94ehdadrjkase2pvdj,2026-04-28T06:29:31.000Z,100,903,165,738,0.029951679999999998,creator,done
conv_5801kq9cdy8ge8993z98rr56qxen,2026-04-28T06:29:08.000Z,11,0,0,0,0,creator,done
conv_0001kq9brzq6ea8szgb71yb5tvjv,2026-04-28T06:17:41.000Z,324,2867,496,2371,0.09007247999999998,creator,done
conv_8401kq9bpqe8f788ddxxdn0b2vtm,2026-04-28T06:16:27.000Z,8,56,0,56,0,creator,done
conv_6101kq6v8dpveye8vvtsgd4ccmf5,2026-04-27T06:50:33.000Z,479,94,46,48,0.00842864,creator,done
conv_2001kpwqbh74eqzrnfkx6fbz59cj,2026-04-23T08:30:09.000Z,86,707,75,632,0.013686680000000003,creator,done
conv_6001kpwqa04sf6j8grmd18jnmgen,2026-04-23T08:29:14.000Z,27,223,28,195,0.004943959999999999,creator,done
conv_1501kpwq47nqfs7s8n8h2aehxksc,2026-04-23T08:25:57.000Z,45,425,90,335,0.016417440000000002,creator,done
conv_1501kpwq3ny9fq49hqe0b012t122,2026-04-23T08:25:39.000Z,11,0,0,0,0,creator,done
